name,address,city,state,postal_code
"Mariachi Estrellas Del Pacífico",,Phoenix,AZ,85001
"Berto's Gelato & Sorbet","2425 W Utopia Rd",Phoenix,AZ,85027
"7th Heaven Eatery","2501 E Camelback Rd",Phoenix,AZ,85016
"Irma's Kitchen","906 N 15th Ave",Phoenix,AZ,85007
"Dairy Queen","4751 E Warner Rd",Phoenix,AZ,85044
"Hava Java","3166 E Camelback Rd",Phoenix,AZ,85016
"Souper Salad","4605 E Cactus Rd",Phoenix,AZ,85032
"The Purple Turtle","4105 N 51st Ave, Ste 157",Phoenix,AZ,85031
"In-N-Out Burger","4840 N 20th St",Phoenix,AZ,85016
"Noble Bread","4525 N 24th St",Phoenix,AZ,85016
"Krispy Kreme Doughnuts","3201 W Indian School",Phoenix,AZ,85017
"Indian Paradise","1546 W Bell Rd",Phoenix,AZ,85023
"Coney Island Grill","16 W Adams St",Phoenix,AZ,85003
"Charlie D's Catfish & Chicken","1153 E Jefferson St",Phoenix,AZ,85034
"Gino's East","3626 E Indian School Rd",Phoenix,AZ,85018
"Water N Ice","4212 W Cactus Rd, Ste 1114",Phoenix,AZ,85029
"Circle K","966 E Van Buren St",Phoenix,AZ,85034
"Pizza Hut","3602 W Camelback Rd",Phoenix,AZ,85019
"Country Boys Restaurant #110","3508 W Cactus Rd",Phoenix,AZ,85029
"Mimi's Cafe","4901 E Ray Rd",Phoenix,AZ,85044
McDonald's,"2845 W Thunderbird Rd",Phoenix,AZ,85053
"Mary Coyle Ol' Fashion Ice Cream","5823 N 7th St",Phoenix,AZ,85014
"Ming's Pagoda","12019 N 19th Ave",Phoenix,AZ,85029
"McGurkee's Italian Kitchen","2822 N 15th Ave",Phoenix,AZ,85007
"La Huasteca Mexican Foods","3517 W Camelback Rd",Phoenix,AZ,85019
"Aya & Peilas","1750 W Van Buren St",Phoenix,AZ,85007
Starbucks,"4340 E Indian School Rd, Ste 3",Phoenix,AZ,85073
Starbucks,"20216 N 27th Ave",Phoenix,AZ,85027
"Charr An American Burger Bar","777 E Thunderbird Rd, Ste 107",Phoenix,AZ,85022
"DJ's Fish and Chips","6260 S 35th Ave",Phoenix,AZ,85041
"Mr Submarine","3306 N 24th St",Phoenix,AZ,85016
"Mr Leno","8430 W McDowell Rd",Phoenix,AZ,85037
"Panera Bread","21001 N Tatum Blvd",Phoenix,AZ,85050
"Dutch Bros Coffee","1201 E Glendale Ave",Phoenix,AZ,85020
"Yasda Bento","18 W Adams St",Phoenix,AZ,85003
"Frys Marketplace","1311 E Bell Rd",Phoenix,AZ,85022
"Hamburger Haven","507 W Thomas Rd",Phoenix,AZ,85013
"Villa Deli","15610 N 35th Ave",Phoenix,AZ,85053
"MOD Pizza","4025 E Chandler Blvd, Ste 74",Phoenix,AZ,85048
"Craft Beer Hop Stop","717 W Union Hills Dr",Phoenix,AZ,85027
"Safeway Food & Drug","3450 W Bell Rd",Phoenix,AZ,85053
"Taco Bell","7449 W Indian School Rd",Phoenix,AZ,85033
"Chipotle Mexican Grill","21001 N Tatum Blvd, Ste 18-1100",Phoenix,AZ,85050
"Matt's Big Breakfast","3118 E Camelback Rd",Phoenix,AZ,85016
Takamatsu,"4214 W Dunlap Ave",Phoenix,AZ,85051
Starbucks,"4724 N 20th St",Phoenix,AZ,85016
"Red Brick Pizza","2170 E Baseline Rd, Ste 134",Phoenix,AZ,85042
"Mad Chef Gastropub","3941 E Chandler Blvd",Phoenix,AZ,85048
"Sonic Drive-In","17238 N 19th Ave",Phoenix,AZ,85023
"Circle K","1007 N 7th St",Phoenix,AZ,85006
"Fresh & Easy","1960 West Baseline Rd",Phoenix,AZ,85041
"T-Bone Steakhouse","10037 S 19th Ave",Phoenix,AZ,85041
"Church's Chicken","2242 E Broadway Rd",Phoenix,AZ,85040
Zwirl,"4905 E Ray Rd",Phoenix,AZ,85044
"The Velvet Buttercream",,Phoenix,AZ,85013
"Tryst Cafe","21050 N Tatum Blvd",Phoenix,AZ,85050
"Bertha's Café","3134 E Indian School Rd",Phoenix,AZ,85018
Starbucks,"650 E Osborn Rd",Phoenix,AZ,85013
"Sweet Life Gelateria","7000 E Mayo Blvd, Ste 1076",Phoenix,AZ,85054
"Little Caesars","3202 E Greenway Rd",Phoenix,AZ,85032
"Lenny's Burger Shop","2825 N Central Ave",Phoenix,AZ,85012
"Jack in the Box","620 E Buckeye Rd",Phoenix,AZ,85004
"Big Boy Ice Cream","1620 W Grant St",Phoenix,AZ,85007
"Los Reyes De La Torta","9230 N 7th St",Phoenix,AZ,85020
"Gorditas El Tio","3202 E Greenway Rd",Phoenix,AZ,85032
"Funky Food Shack","1722 W Vanburen",Phoenix,AZ,85007
"Li's Bowl","6260 S 35th Ave",Phoenix,AZ,85041
"Mayuri Palace","2410 W Bell Rd",Phoenix,AZ,85023
"Hong Kong Gourmet Buffet","4909 E Chandler Blvd",Phoenix,AZ,85048
Stella,"3160 E Camelback Rd",Phoenix,AZ,85016
"Streets of New York","16838 N 7th St",Phoenix,AZ,85022
"Lucky Strike","50 W Jefferson St, Ste 240",Phoenix,AZ,85003
"Chipotle Mexican Grill","1660 E Camelback Rd, Ste 185",Phoenix,AZ,85016
Gallagher's,"751 E Union Hls Dr",Phoenix,AZ,85024
"China Restaurant","4709 E Southern Ave",Phoenix,AZ,85042
"Pizza Hut","8225 W Indian School Rd, Ste 1",Phoenix,AZ,85033
"Bon Appetit Restaurant","6037 N 7th St",Phoenix,AZ,85014
"Hidden Track Café","111 W Monroe St, Ste 121",Phoenix,AZ,85003
"La Bocca Wine Bar & Urban Kitchen","5415 E High St, Ste 127",Phoenix,AZ,85054
"Brennan's Pub & Grub","3510 E Bell Rd",Phoenix,AZ,85032
"Julio G's Tatum","12631 N Tatum Blvd",Phoenix,AZ,85032
"The Cupcake Cafe",,Phoenix,AZ,85016
"Mama Java's Coffee House","3619 E Indian School Rd",Phoenix,AZ,85018
"Flaming Wok","7611 W Thomas Rd",Phoenix,AZ,85033
"Tu DO Restaurant","7828 N 19th Ave, Ste 6",Phoenix,AZ,85021
"Great American Grill","3422 E Elwood St",Phoenix,AZ,85040
"General Nutrition Center","3941 E Chandler Blvd",Phoenix,AZ,85048
Chili's,"2612 N 75th Ave",Phoenix,AZ,85035
"Bootleggers Modern American Smokehouse","3375 E Shea Blvd",Phoenix,AZ,85028
"Circle K","2402 E Mcdowell Rd",Phoenix,AZ,85008
Überrito,"4912 E Shea Blvd, Ste 108",Phoenix,AZ,85028
Safeway,"810 E Glendale Ave",Phoenix,AZ,85020
"Slice Cake Design","N 7th St",Phoenix,AZ,85006
"Machete Azteca Estilo DF","6709 W Indian School Rd",Phoenix,AZ,85033
"Papa John's Pizza","3441 W Northern Ave",Phoenix,AZ,85051
"Five Guys","16900 N Tatum Blvd, Ste 100",Phoenix,AZ,85032
"Circle K","701 E Bethany Home Rd",Phoenix,AZ,85014
"The Lobby Grill","8000 S Arizona Grand Pkwy",Phoenix,AZ,85044
"Golden Panda","13849 N 19th Ave",Phoenix,AZ,85023
"Cafe At Desert Ridge","20910 N Tatum Blvd, Ste 100",Phoenix,AZ,85050
"El Nopalito","2831 N 24th St",Phoenix,AZ,85008
"My Dad's Favorite Cookies and Bakery","2530 W Happy Valley Rd, Ste 1271",Phoenix,AZ,85085
"Tacos Atoyac","1830 W Glendale Ave",Phoenix,AZ,85021
